framework,test_type,metric,value
express,breakpoint-read,min_response_time,1
express,breakpoint-read,median_response_time,5
express,breakpoint-read,p95_response_time,125.2
express,breakpoint-read,p99_response_time,314.2
express,breakpoint-read,max_response_time,501
express,breakpoint-read,mean_response_time,22.8
express,breakpoint-read,total_requests,20190
express,breakpoint-read,failed_vusers,70
express,breakpoint-read,total_vusers,20190
express,breakpoint-read,completed_vusers,20120
express,breakpoint-read,requests_per_second,77
express,breakpoint-read,error_percent,0.3467062902426944
express,breakpoint-read,success_percent,99.6532937097573
express,breakpoint-write,min_response_time,3
express,breakpoint-write,median_response_time,100.5
express,breakpoint-write,p95_response_time,9801.2
express,breakpoint-write,p99_response_time,9999.2
express,breakpoint-write,max_response_time,10050
express,breakpoint-write,mean_response_time,2339.4
express,breakpoint-write,total_requests,42779
express,breakpoint-write,failed_vusers,11399
express,breakpoint-write,total_vusers,20190
express,breakpoint-write,completed_vusers,8791
express,breakpoint-write,requests_per_second,143
express,breakpoint-write,error_percent,56.45864289252105
express,breakpoint-write,success_percent,43.54135710747895
express,read-heavy,min_response_time,2
express,read-heavy,median_response_time,4
express,read-heavy,p95_response_time,147
express,read-heavy,p99_response_time,3534.1
express,read-heavy,max_response_time,5874
express,read-heavy,mean_response_time,108.1
express,read-heavy,total_requests,9000
express,read-heavy,failed_vusers,0
express,read-heavy,total_vusers,9000
express,read-heavy,completed_vusers,9000
express,read-heavy,requests_per_second,50
express,read-heavy,error_percent,0.0
express,read-heavy,success_percent,100.0
express,soak,min_response_time,1
express,soak,median_response_time,4
express,soak,p95_response_time,7.9
express,soak,p99_response_time,10.9
express,soak,max_response_time,196
express,soak,mean_response_time,4.7
express,soak,total_requests,10800
express,soak,failed_vusers,0
express,soak,total_vusers,3600
express,soak,completed_vusers,3600
express,soak,requests_per_second,30
express,soak,error_percent,0.0
express,soak,success_percent,100.0
express,spike,min_response_time,1
express,spike,median_response_time,6
express,spike,p95_response_time,383.8
express,spike,p99_response_time,772.9
express,spike,max_response_time,1001
express,spike,mean_response_time,57.7
express,spike,total_requests,12600
express,spike,failed_vusers,0
express,spike,total_vusers,6300
express,spike,completed_vusers,6300
express,spike,requests_per_second,46
express,spike,error_percent,0.0
express,spike,success_percent,100.0
express,stress,min_response_time,2
express,stress,median_response_time,6
express,stress,p95_response_time,59.7
express,stress,p99_response_time,497.8
express,stress,max_response_time,792
express,stress,mean_response_time,21
express,stress,total_requests,18000
express,stress,failed_vusers,0
express,stress,total_vusers,9000
express,stress,completed_vusers,9000
express,stress,requests_per_second,74
express,stress,error_percent,0.0
express,stress,success_percent,100.0
express,write-heavy,min_response_time,3
express,write-heavy,median_response_time,6
express,write-heavy,p95_response_time,8.9
express,write-heavy,p99_response_time,13.9
express,write-heavy,max_response_time,174
express,write-heavy,mean_response_time,6.5
express,write-heavy,total_requests,7200
express,write-heavy,failed_vusers,0
express,write-heavy,total_vusers,3600
express,write-heavy,completed_vusers,3600
express,write-heavy,requests_per_second,40
express,write-heavy,error_percent,0.0
express,write-heavy,success_percent,100.0
fastapi-async,breakpoint-read,min_response_time,2
fastapi-async,breakpoint-read,median_response_time,172.5
fastapi-async,breakpoint-read,p95_response_time,5826.9
fastapi-async,breakpoint-read,p99_response_time,9047.6
fastapi-async,breakpoint-read,max_response_time,10004
fastapi-async,breakpoint-read,mean_response_time,1052.5
fastapi-async,breakpoint-read,total_requests,20190
fastapi-async,breakpoint-read,failed_vusers,8319
fastapi-async,breakpoint-read,total_vusers,20190
fastapi-async,breakpoint-read,completed_vusers,11871
fastapi-async,breakpoint-read,requests_per_second,70
fastapi-async,breakpoint-read,error_percent,41.20356612184249
fastapi-async,breakpoint-read,success_percent,58.79643387815751
fastapi-async,breakpoint-write,min_response_time,4
fastapi-async,breakpoint-write,median_response_time,262.5
fastapi-async,breakpoint-write,p95_response_time,8024.5
fastapi-async,breakpoint-write,p99_response_time,9416.8
fastapi-async,breakpoint-write,max_response_time,10010
fastapi-async,breakpoint-write,mean_response_time,1655.9
fastapi-async,breakpoint-write,total_requests,25789
fastapi-async,breakpoint-write,failed_vusers,17919
fastapi-async,breakpoint-write,total_vusers,20190
fastapi-async,breakpoint-write,completed_vusers,2271
fastapi-async,breakpoint-write,requests_per_second,88
fastapi-async,breakpoint-write,error_percent,88.75185735512629
fastapi-async,breakpoint-write,success_percent,11.2481426448737
fastapi-async,read-heavy,min_response_time,3
fastapi-async,read-heavy,median_response_time,6
fastapi-async,read-heavy,p95_response_time,772.9
fastapi-async,read-heavy,p99_response_time,2186.8
fastapi-async,read-heavy,max_response_time,3710
fastapi-async,read-heavy,mean_response_time,102.9
fastapi-async,read-heavy,total_requests,9000
fastapi-async,read-heavy,failed_vusers,0
fastapi-async,read-heavy,total_vusers,9000
fastapi-async,read-heavy,completed_vusers,9000
fastapi-async,read-heavy,requests_per_second,50
fastapi-async,read-heavy,error_percent,0.0
fastapi-async,read-heavy,success_percent,100.0
fastapi-async,soak,min_response_time,2
fastapi-async,soak,median_response_time,7
fastapi-async,soak,p95_response_time,12.1
fastapi-async,soak,p99_response_time,23.8
fastapi-async,soak,max_response_time,408
fastapi-async,soak,mean_response_time,8.1
fastapi-async,soak,total_requests,9012
fastapi-async,soak,failed_vusers,1993
fastapi-async,soak,total_vusers,3600
fastapi-async,soak,completed_vusers,1607
fastapi-async,soak,requests_per_second,30
fastapi-async,soak,error_percent,55.361111111111114
fastapi-async,soak,success_percent,44.638888888888886
fastapi-async,spike,min_response_time,2
fastapi-async,spike,median_response_time,685.5
fastapi-async,spike,p95_response_time,9047.6
fastapi-async,spike,p99_response_time,9801.2
fastapi-async,spike,max_response_time,10008
fastapi-async,spike,mean_response_time,2980
fastapi-async,spike,total_requests,8666
fastapi-async,spike,failed_vusers,5037
fastapi-async,spike,total_vusers,6300
fastapi-async,spike,completed_vusers,1263
fastapi-async,spike,requests_per_second,53
fastapi-async,spike,error_percent,79.95238095238095
fastapi-async,spike,success_percent,20.047619047619047
fastapi-async,stress,min_response_time,4
fastapi-async,stress,median_response_time,183.1
fastapi-async,stress,p95_response_time,6838
fastapi-async,stress,p99_response_time,9416.8
fastapi-async,stress,max_response_time,9990
fastapi-async,stress,mean_response_time,1568.8
fastapi-async,stress,total_requests,13822
fastapi-async,stress,failed_vusers,5662
fastapi-async,stress,total_vusers,9000
fastapi-async,stress,completed_vusers,3338
fastapi-async,stress,requests_per_second,55
fastapi-async,stress,error_percent,62.911111111111104
fastapi-async,stress,success_percent,37.08888888888889
fastapi-async,write-heavy,min_response_time,6
fastapi-async,write-heavy,median_response_time,487.9
fastapi-async,write-heavy,p95_response_time,1408.4
fastapi-async,write-heavy,p99_response_time,1755
fastapi-async,write-heavy,max_response_time,2667
fastapi-async,write-heavy,mean_response_time,560.1
fastapi-async,write-heavy,total_requests,7200
fastapi-async,write-heavy,failed_vusers,0
fastapi-async,write-heavy,total_vusers,3600
fastapi-async,write-heavy,completed_vusers,3600
fastapi-async,write-heavy,requests_per_second,40
fastapi-async,write-heavy,error_percent,0.0
fastapi-async,write-heavy,success_percent,100.0
fastapi-sync,breakpoint-read,min_response_time,3
fastapi-sync,breakpoint-read,median_response_time,8.9
fastapi-sync,breakpoint-read,p95_response_time,468.8
fastapi-sync,breakpoint-read,p99_response_time,982.6
fastapi-sync,breakpoint-read,max_response_time,1683
fastapi-sync,breakpoint-read,mean_response_time,66.6
fastapi-sync,breakpoint-read,total_requests,20190
fastapi-sync,breakpoint-read,failed_vusers,15375
fastapi-sync,breakpoint-read,total_vusers,20190
fastapi-sync,breakpoint-read,completed_vusers,4815
fastapi-sync,breakpoint-read,requests_per_second,70
fastapi-sync,breakpoint-read,error_percent,76.15156017830608
fastapi-sync,breakpoint-read,success_percent,23.84843982169391
fastapi-sync,breakpoint-write,min_response_time,5
