relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
0,express,breakpoint-read,12,0,12,12,2,100.0,0.0
10,express,breakpoint-read,27,0,27,27,3,100.0,0.0
20,express,breakpoint-read,41,0,41,41,6,100.0,0.0
30,express,breakpoint-read,58,0,58,58,8,100.0,0.0
40,express,breakpoint-read,81,0,81,80,10,100.0,0.0
50,express,breakpoint-read,104,0,104,105,11,100.0,0.0
60,express,breakpoint-read,130,0,130,129,14,100.0,0.0
70,express,breakpoint-read,157,0,157,158,16,100.0,0.0
80,express,breakpoint-read,181,0,181,181,18,100.0,0.0
90,express,breakpoint-read,213,0,213,213,22,100.0,0.0
100,express,breakpoint-read,263,0,263,263,27,100.0,0.0
110,express,breakpoint-read,308,0,309,308,32,100.0,0.0
120,express,breakpoint-read,362,0,361,362,37,100.0,0.0
130,express,breakpoint-read,408,0,410,408,42,100.0,0.0
140,express,breakpoint-read,460,0,459,460,47,100.0,0.0
150,express,breakpoint-read,513,0,513,513,52,100.0,0.0
160,express,breakpoint-read,594,0,593,594,60,100.0,0.0
170,express,breakpoint-read,678,0,678,677,69,100.0,0.0
180,express,breakpoint-read,759,0,763,760,77,100.0,0.0
190,express,breakpoint-read,848,0,844,848,86,100.0,0.0
200,express,breakpoint-read,930,0,930,929,94,100.0,0.0
210,express,breakpoint-read,1021,0,1022,1022,103,100.0,0.0
220,express,breakpoint-read,1181,0,1181,1181,119,100.0,0.0
230,express,breakpoint-read,1350,0,1350,1350,137,100.0,0.0
240,express,breakpoint-read,1509,0,1515,1509,152,100.0,0.0
250,express,breakpoint-read,1683,0,1678,1683,169,100.0,0.0
260,express,breakpoint-read,1850,0,1848,1847,185,100.0,0.0
270,express,breakpoint-read,1885,0,1885,1888,189,100.0,0.0
280,express,breakpoint-read,1433,0,1434,1433,143,100.0,0.0
290,express,breakpoint-read,855,67,921,854,95,92.72529858849077,7.27470141150923
300,express,breakpoint-read,226,3,229,227,61,98.69565217391305,1.3043478260869565
0,express,breakpoint-write,9,0,3,3,4,100.0,0.0
10,express,breakpoint-write,63,0,21,21,12,100.0,0.0
20,express,breakpoint-write,102,0,34,34,13,100.0,0.0
30,express,breakpoint-write,144,0,48,48,18,100.0,0.0
40,express,breakpoint-write,210,0,70,70,25,100.0,0.0
50,express,breakpoint-write,277,0,94,92,30,100.0,0.0
60,express,breakpoint-write,359,0,118,120,37,100.0,0.0
